1.8071,1.7565,0.38478,1.2575,1.613,2.4708,1.2575,1.5789,1.762
1.8096,1.7209,0.84929,1.3804,1.5856,0.95418,1.3804,1.4717,0.27943
1.3688,1.3993,0.25159,1.0323,1.4019,3.3615,1.0323,1.2381,1.4624
1.3038,1.2484,0.57447,1.0317,1.3518,3.0406,1.0317,1.3625,3.5004
1.6931,1.674,0.22277,0.99137,1.6478,9.0831,0.99137,1.4951,5.3154
1.2699,1.3057,0.33437,1.0908,1.4621,4.2075,1.0908,1.24,0.90888
1.3527,1.398,0.41697,1.0646,1.1798,0.82032,1.0646,1.0495,0.072077
1.2169,1.2451,0.22467,1.4519,1.4832,0.15865,1.4519,1.3306,0.70787
1.4114,1.402,0.077857,1.4564,1.5729,1.0865,1.4564,1.4797,0.11559
1.7055,1.6888,0.23989,1.5242,1.707,2.4647,1.5242,1.6364,1.0424
1.4505,1.4587,0.068208,1.2558,1.5661,3.4263,1.2558,1.2894,0.13345
1.2085,1.2795,0.7174,1.2828,1.3958,0.63698,1.2828,1.2125,0.33885
1.3881,1.4272,0.35365,1.2634,1.5833,3.0868,1.2634,1.3919,0.85325
1.6185,1.6553,0.44012,1.2752,1.6139,3.5713,1.2752,1.4862,1.9067
1.801,1.8151,0.16566,1.4217,1.7913,6.0291,1.4217,1.6249,2.3292
1.6371,1.674,0.44156,1.4313,1.729,4.2428,1.4313,1.552,0.97035
1.3981,1.4699,0.81055,1.4725,1.5909,0.92806,1.4725,1.4884,0.079739
1.3959,1.4918,1.171,1.186,1.617,5.2358,1.186,1.3927,1.8609
1.4018,1.4548,0.47542,1.1753,1.6524,6.1199,1.1753,1.4524,2.6498
