7.7142,7.4935,0.21477,5.5786,6.2747,0.30961,5.5786,6.7283,0.55868
7.6089,7.8738,0.26648,6.4345,6.295,0.05098,6.4345,7.4964,0.47514
8.8301,8.7071,0.21094,7.8386,7.3763,0.29685,7.8386,8.1264,0.15781
8.8359,8.4831,0.70043,8.1873,7.0165,1.0649,8.1873,8.3911,0.11532
9.0578,8.8974,0.34997,7.7917,7.8883,0.063285,7.7917,8.2873,0.35076
8.7278,8.6351,0.14347,8.8644,7.6087,1.6685,8.8644,8.1551,0.68575
8.6637,8.5462,0.15489,6.9749,8.0545,0.63881,6.9749,6.5584,0.16541
8.3134,8.4356,0.14694,8.9733,7.2944,2.693,8.9733,8.2955,0.61414
8.8695,8.734,0.20026,8.2925,7.6749,0.47807,8.2925,8.9831,0.6437
8.976,8.5932,0.90639,8.5133,7.8045,0.5432,8.5133,8.3142,0.12461
9.0418,8.7946,0.47568,8.7621,8.2843,0.60629,8.7621,8.2189,0.47721
8.0069,8.2248,0.25542,8.4608,7.7236,0.75935,8.4608,7.7163,0.63218
8.7593,8.6658,0.13681,8.3514,8.1758,0.15815,8.3514,8.7408,0.41511
9.0953,8.952,0.21849,8.2437,8.2465,0.0018409,8.2437,8.4543,0.16838
9.1893,9.3088,0.18851,8.9228,8.1673,0.97834,8.9228,8.9981,0.059585
9.3337,8.9347,0.9518,8.7585,8.6285,0.095616,8.7585,8.9758,0.18285
8.8248,8.8345,0.013174,8.894,8.3649,0.56569,8.894,8.626,0.20812
9.2542,8.9199,0.84872,8.5608,8.4222,0.11004,8.5608,8.9421,0.42104
9.1149,8.8759,0.45025,8.4939,8.6899,0.174,8.4939,8.9394,0.45265
