91.213,21.896,14.137,9.5536
563.48,23.885,58.041,24.168
273.87,191.57,229.23,33.116
422.58,11.524,5.8796,6.8562
676.87,57.548,91.826,13.702
229,15.473,32.067,27.113
2080.8,38.782,59.798,35.483
64.173,5.0536,9.5487,13.379
66.27,25.638,55.251,12.113
229.81,15.095,29.987,11.16
620.2,14.405,23.119,23.246
422.86,47.156,27.279,7.2985
429.53,30.771,22.769,16.561
11160,168.65,160.25,47.257
1341.3,65.521,45.398,26.605
8357,565.22,325.21,183.01
260.14,14.323,33.011,57.215
1391,43.523,39.891,20.686
453.99,14.218,27.096,9.1223
234.31,8.5462,18.006,10.776
36.129,12.151,56.31,31.954
2704.3,237.12,144.57,54.946
168.9,12.013,31.231,11.494
909.17,43.287,58.808,39.538
91.662,5.5084,12.158,9.9433
1952.4,95.707,68.891,31.291
549.31,15.438,37.618,11.923
1442.2,55.899,49.686,23.764
100.33,16.115,39.454,15.824
739.56,28.395,37.182,16.421
546.62,46.3,66.272,9.5515
266.1,24.728,79.371,26.976
174.71,11.231,15.168,15.623
589.02,21.213,18.557,13.143
346.67,57.584,131.43,23.271
344.84,7.1659,17.875,10.697
154.08,8.2224,11.989,12.318
611.72,25.465,55.274,12.905
392.45,26.32,37.298,21.586
127.45,8.6144,29.457,16.196
1924.5,60.594,65.824,22.416
669.63,28.532,48.805,43.79
58.947,33.537,49.276,13.358
187.97,56.223,13.701,7.8306
703.8,20.878,3.3322,3.937
842.12,30.332,44.737,22.531
1480.5,30.354,47.804,12.41
326.91,34.816,52.241,42.497
1282.6,32.197,23.355,10.899
755.64,52.599,85.031,28.908
137.91,33.172,54.17,18.863
2890.7,134.76,99.67,40.627
110.16,7.1595,15.241,10.474
283.68,15.434,24.172,16.854
151.03,9.4852,31.273,10.307
330.62,34.327,63.715,21.883
351.47,24.861,73.032,37.054
46.956,25.148,47.348,58.38
63.854,9.0991,15.611,20.846
178.65,9.4597,22.527,8.1852
672.61,19.906,5.4878,8.4822
205.4,37.475,58.092,17.28
1168.2,144.48,54.703,23.53
115.68,22.453,27.757,13.446
171.08,15.353,49.879,11.536
2063,56.483,34.721,18.408
595.55,22.654,78.871,613.65
685.74,40.251,67.048,28.888
183.88,24.875,174.55,12.552
1137.5,137.1,75.297,46.341
3937.6,72.776,56.359,32.287
128.45,15.521,30.104,21.327
5370.5,241.96,159.52,76.762
5885.1,153.04,71.295,35.774
2814.9,106.5,121.8,34.894
863.4,25.143,13.997,14.125
138.21,73.053,90.788,39.379
1091.4,30.214,35.147,12.633
1906.2,202.78,109.14,46.09
4166.6,148.75,137.76,101.63
1006.7,36.21,44.4,13.538
870.1,40.956,78.924,23.656
223.76,26.723,28.887,6.856
1837.6,12.802,19.058,18.408
183.14,17.824,38.306,25.396
868.38,35.712,145.07,25.766
356.86,28.54,42.021,17.57
188.89,8.5203,35.44,14.207
304.3,231.96,69.153,15.119
305.39,18.899,50.976,20.385
1264.9,29.743,25.914,11.326
591.63,45.608,25.238,8.044
247.97,10.796,17.463,6.1181
499.66,11.201,36.608,20.797
267.13,14.87,25.437,10.515
512.89,10.748,12.888,10.997
678.6,27.136,11.164,18.141
239.07,8.0406,19.356,5.8912
121.64,44.602,77.529,33.287
270.41,38.61,18.744,13.38
440.2,17.793,21.351,35.014
913.99,18.592,23.862,12.869
1651.8,47.607,48.736,23.459
1458.3,167.1,96.245,74.222
822.12,23.764,27.436,15.747
346.93,121.78,66.62,16.484
147.23,12.96,72.325,17.409
3567.9,240.15,128.1,111.74
1656.3,34.599,13.495,10.614
1137.4,16.374,14.15,22.766
775.79,19.793,23.065,9.4538
1219.4,44.972,17.315,14.94
2255.8,164.26,106.84,35.104
514.09,69.126,62.388,31.506
535.14,34.416,56.363,33.186
465.27,43.016,45.007,26.278
185.77,109.74,104.97,36.598
122.33,21.132,6.0346,2.6111
275.18,25.921,38.519,7.9765
447.66,33.131,76.112,22.357
285.14,11.796,13.251,10.28
86.984,25.583,37.354,21.805
767.22,28.704,38.563,8.6039
336.79,3.4906,2.2956,9.0001
970.91,8.8292,9.7092,18.335
187.18,20.223,53.985,22.855
1055.9,176.47,87.078,29.775
905.89,15.201,26.362,11.11
4823.2,386.51,196.35,86.777
250.08,12.114,19.807,20.086
99.583,2.9887,4.3267,10.039
274.69,11.727,25.578,36.806
44.282,4.9166,19.405,5.394
1825.4,130.19,49.424,31.438
4711,11.584,27.237,9.6292
55.138,4.2769,5.1228,7.1015
1580.9,84.06,57.101,38.1
12445,1577.5,1119.8,791.85
152.83,8.7635,13.716,11.809
564.49,61.803,65.808,21.671
187.88,27.25,35.271,14.941
336.12,40.127,181.1,24.912
67.597,8.6276,52.129,5.8308
1224.6,32.466,18.795,9.38
1014.5,31.417,21.091,17.532
529.91,24.265,43.748,13.573
460.64,23.202,18.988,9.3408
72.354,13.413,18.208,18.543
1506.1,194.38,113.94,45.499
347.9,11.573,21.946,7.8788
133.55,10.06,15.495,7.4624
935.42,23.883,14.978,15.958
149.88,7.9637,29.662,12.768
395.91,27.791,50.835,17.465
683.09,18.928,16.285,9.2343
477.04,16.608,17.939,11.492
1085.6,49.892,39.902,29.685
1454.7,55.744,57.605,20.755
2558.5,46.288,72.923,44.123
70.841,18.136,32.842,11.465
50.559,12.546,20.553,17.289
224.74,26.068,28.071,8.0334
2743.1,32.316,58.66,39.117
216.51,10.647,12.401,6.2801
1653.4,33.145,61.868,25.052
1278,7.8202,18.448,6.8595
1348.4,75.144,23.73,11.908
582.76,27.782,18.284,14.157
74.005,5.717,17.832,6.956
60.311,5.0785,7.2678,7.9638
911.1,22.218,29.037,17.922
83.318,8.6411,7.7612,7.132
994.22,12.697,28.796,16.116
142.4,15.374,31.736,28.248
75.66,12.068,38.844,10.404
53.295,6.4496,16.07,22.83
186.73,23.353,51.535,21.092
513.12,43.681,78.103,29.717
101.41,15.16,80.037,7.5135
332.22,10.487,7.4784,5.1774
543.47,10.857,27.714,24.789
1268.4,88.724,61.823,42.58
272.03,7.9082,51.055,7.46
268.77,14.184,30.776,5.1479
160.8,11.698,11.458,6.0798
400.92,25.283,20.324,8.2375
552.65,13.987,52.003,11.767
93.466,19.618,25.049,4.7134
180.65,19.008,38.447,25.005
1235.7,33.627,29.568,7.6459
2422.9,79.054,32.331,15.853
628.06,8.6862,17.356,13.102
187.22,4.9899,5.4443,4.3268
892.72,19.544,64.05,21.672
390.38,16.159,7.9616,18.725
104.61,10.578,36.966,6.3347
242.79,6.6907,11.646,5.5694
628.1,23.085,73.832,30.927
109.05,11.71,10.271,7.8898
77.989,4.8832,6.8268,6.6713
127.45,17.028,20.434,11.404
127.41,9.5631,10.856,4.1018
167.33,22.797,42.238,9.2013
1690.7,54.804,135.32,45.279
2116.7,186.2,120.79,73.468
160,3.6713,9.4799,4.5313
897.18,57.543,36.018,27.566
8258.2,759.51,368.73,228.62
216.79,14.323,74.495,8.4518
